unit,category,use,translation,item,subcategory,value,date,source,jason_notes
Stück (Piece),Meat,,thrush,Drußeln [Droßelln],"Bird, wild",,1642,,
Stück (Piece),Meat,,thrush,Drußeln [Droßelln],"Bird, wild",,1643,,
Stück (Piece),Meat,,thrush,Drußeln [Droßelln],"Bird, wild",116,1644,,
Stück (Piece),Meat,,thrush,Drußeln [Droßelln],"Bird, wild",345,1645,,
Stück (Piece),Meat,,thrush,Drußeln [Droßelln],"Bird, wild",2351,1646,,
Stück (Piece),Meat,,thrush,Drußeln [Droßelln],"Bird, wild",,1647,,
Stück (Piece),Meat,,thrush,Drußeln [Droßelln],"Bird, wild",,1648,,
Stück (Piece),Meat,,thrush,Drußeln [Droßelln],"Bird, wild",,1649,,
Stück (Piece),Meat,,thrush,Drußeln [Droßelln],"Bird, wild",,1650,,
Stück (Piece),Meat,,thrush,Drußeln [Droßelln],"Bird, wild",,1651,,
